Filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas
108531.txt,0.5176056338028169,0.7958297872340427,0.5633802816901409,0.7346938775510204,0.675,0.31451612903225806,0.5050666666666664,0.6867469879518072,0.7,0.696969696969697,0.6875,0.36,0.6132075471698113,0.056338028169014086,0.03873239436619718,0.007042253521126761,0.017605633802816902,0.01056338028169014,0.03873239436619718,0.02112676056338028,0.0,0.0,0.014084507042253521,0.017605633802816902,0.0035211267605633804,0.05985915492957746,0.01056338028169014,0.0035211267605633804,0.007042253521126761,0.045774647887323945,0.03169014084507042,0.01056338028169014,0.0035211267605633804,0.01056338028169014,0.0,0.07042253521126761,0.01056338028169014,0.056338028169014086,0.03169014084507042,0.10843373493975904,0.29225352112676056,0.323943661971831
110362.txt,0.4141048824593128,0.7605952380952377,0.4810126582278481,0.7467248908296943,0.6428571428571429,0.21951219512195122,0.5108403361344539,0.6792452830188679,0.625,0.9032258064516129,0.5333333333333333,0.14285714285714285,0.47337278106508873,0.05786618444846293,0.0379746835443038,0.0108499095840868,0.009041591320072333,0.009041591320072333,0.045207956600361664,0.04159132007233273,0.0018083182640144665,0.02531645569620253,0.012658227848101266,0.019891500904159132,0.003616636528028933,0.0650994575045208,0.034358047016274866,0.0216998191681736,0.012658227848101266,0.0650994575045208,0.04159132007233273,0.0216998191681736,0.0018083182640144665,0.018083182640144666,0.009041591320072333,0.10307414104882459,0.012658227848101266,0.0922242314647378,0.0379746835443038,0.19811320754716982,0.25678119349005424,0.29294755877034356
120355.txt,0.5277108433734939,0.8166120218579236,0.5951807228915663,0.7990867579908676,0.708502024291498,0.26785714285714285,0.4458823529411764,0.7166666666666667,0.7377049180327869,0.7391304347826086,0.7,0.22857142857142856,0.6013071895424836,0.06506024096385542,0.05783132530120482,0.007228915662650603,0.00963855421686747,0.0,0.06265060240963856,0.021686746987951807,0.004819277108433735,0.00963855421686747,0.01927710843373494,0.02650602409638554,0.004819277108433735,0.05542168674698795,0.007228915662650603,0.0024096385542168677,0.004819277108433735,0.07710843373493977,0.04819277108433735,0.02650602409638554,0.004819277108433735,0.014457831325301205,0.004819277108433735,0.0963855421686747,0.012048192771084338,0.10602409638554217,0.014457831325301205,0.05,0.2746987951807229,0.28433734939759037
124249.txt,0.5897435897435898,0.8177678571428572,0.575091575091575,0.7701863354037267,0.7898089171974523,0.35344827586206895,0.5486567164179105,0.7671232876712328,0.8,0.8571428571428571,0.7931034482758621,0.2,0.5961538461538461,0.02564102564102564,0.02564102564102564,0.0,0.007326007326007326,0.0,0.03663003663003663,0.02564102564102564,0.003663003663003663,0.01098901098901099,0.01098901098901099,0.014652014652014652,0.003663003663003663,0.047619047619047616,0.018315018315018316,0.003663003663003663,0.014652014652014652,0.040293040293040296,0.047619047619047616,0.02564102564102564,0.0,0.014652014652014652,0.007326007326007326,0.08791208791208792,0.003663003663003663,0.07326007326007326,0.018315018315018316,0.0684931506849315,0.20146520146520147,0.21611721611721613
125979.txt,0.726027397260274,0.7608333333333333,0.4520547945205479,0.49056603773584906,0.7878787878787878,0.7,0.7,0.8125,0.8571428571428571,0.75,0.6666666666666666,0.7777777777777778,0.782608695652174,0.0136986301369863,0.0,0.0136986301369863,0.0410958904109589,0.0,0.0,0.0410958904109589,0.0,0.0136986301369863,0.0136986301369863,0.0410958904109589,0.0,0.1232876712328767,0.0410958904109589,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0547945205479452,0.0136986301369863,0.0,0.0273972602739726,0.0,0.0273972602739726,0.0273972602739726,0.0410958904109589,0.0821917808219178,0.375,0.1917808219178082,0.2191780821917808
126872.txt,0.5955882352941176,0.8153363228699545,0.5294117647058824,0.7098765432098766,0.7986111111111112,0.390625,0.5445569620253163,0.8024691358024691,0.7241379310344828,0.9047619047619048,0.7692307692307693,0.4117647058823529,0.7553191489361702,0.04411764705882353,0.029411764705882353,0.007352941176470588,0.01838235294117647,0.007352941176470588,0.029411764705882353,0.011029411764705883,0.014705882352941176,0.007352941176470588,0.014705882352941176,0.01838235294117647,0.007352941176470588,0.10661764705882353,0.025735294117647058,0.011029411764705883,0.014705882352941176,0.05514705882352941,0.03676470588235294,0.014705882352941176,0.003676470588235294,0.01838235294117647,0.0,0.0661764705882353,0.011029411764705883,0.0625,0.025735294117647058,0.08641975308641975,0.19852941176470587,0.22058823529411764
138523.txt,0.4231274638633377,0.8448033707865157,0.6741130091984231,0.8695652173913043,0.5458089668615984,0.17338709677419356,0.44562814070351753,0.5636942675159236,0.5978260869565217,0.47959183673469385,0.7142857142857143,0.3,0.5650793650793651,0.06438896189224705,0.04336399474375821,0.02102496714848883,0.003942181340341655,0.0,0.04862023653088042,0.01445466491458607,0.0,0.006570302233902759,0.01445466491458607,0.02102496714848883,0.0,0.04862023653088042,0.017082785808147174,0.005256241787122208,0.011826544021024968,0.0735873850197109,0.04993429697766097,0.017082785808147174,0.0,0.003942181340341655,0.001314060446780552,0.07227332457293036,0.02102496714848883,0.08935611038107753,0.013140604467805518,0.03184713375796178,0.43626806833114323,0.4480946123521682
139801.txt,0.4496,0.8231597222222188,0.5568,0.7473309608540926,0.603448275862069,0.2743682310469314,0.5468421052631587,0.5432692307692307,0.796875,0.8235294117647058,0.5625,0.4583333333333333,0.5377777777777778,0.0304,0.024,0.0064,0.0128,0.0032,0.0224,0.0368,0.0032,0.0176,0.0016,0.0224,0.0096,0.0912,0.0176,0.0064,0.0112,0.0464,0.0432,0.0224,0.008,0.0128,0.0,0.0656,0.0144,0.0704,0.0336,0.10096153846153846,0.3232,0.3504
141363.txt,0.5193548387096775,0.826819923371647,0.532258064516129,0.7267080745341615,0.7090909090909091,0.33793103448275863,0.5577083333333333,0.8095238095238095,0.6326530612244898,0.6875,0.6296296296296297,0.2564102564102564,0.594059405940594,0.041935483870967745,0.035483870967741936,0.0032258064516129032,0.00967741935483871,0.0032258064516129032,0.041935483870967745,0.02258064516129032,0.0,0.00967741935483871,0.00967741935483871,0.012903225806451613,0.0064516129032258064,0.04838709677419355,0.00967741935483871,0.0064516129032258064,0.0032258064516129032,0.05806451612903226,0.04516129032258064,0.01935483870967742,0.0064516129032258064,0.01935483870967742,0.0032258064516129032,0.06774193548387097,0.012903225806451613,0.07096774193548387,0.02903225806451613,0.14285714285714285,0.25483870967741934,0.27741935483870966
148731.txt,0.4138915318744053,0.8125548902195621,0.5509039010466222,0.8068965517241379,0.6062176165803109,0.1906779661016949,0.5191489361702123,0.6,0.6691176470588235,0.6103896103896104,0.6458333333333334,0.18055555555555555,0.5631868131868132,0.03139866793529972,0.02664129400570885,0.0009514747859181732,0.01807802093244529,0.005708848715509039,0.02664129400570885,0.022835394862036156,0.0019029495718363464,0.015223596574690771,0.012369172216936251,0.03235014272121789,0.004757373929590866,0.1170313986679353,0.04186489058039962,0.010466222645099905,0.03139866793529972,0.03425309229305423,0.016175071360608945,0.006660323501427212,0.004757373929590866,0.013320647002854425,0.008563273073263558,0.060894386298763085,0.005708848715509039,0.05423406279733587,0.05708848715509039,0.18461538461538463,0.32445290199809707,0.3786869647954329
