filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
153212.txt,357,207,190,146,167,61,0.7053140096618358,0.5322128851540616,0.5798319327731093,10.955601767316736,0.9072743299888087,0.03632499884862271,0.856428571428571,0.8571428571428571,0.8727763766547365,124.68719911585485,136.46132963320463,134.52100840336135
156318.txt,861,326,437,251,424,75,0.7699386503067485,0.5075493612078978,0.3786295005807201,11.11005027843325,0.8562912781961365,0.04896373679622359,0.7321182266009858,0.7400000000000001,0.800112112765671,54.460071437683375,53.255243764172334,55.35540069686411
163182.txt,457,208,275,162,182,46,0.7788461538461539,0.6017505470459519,0.4551422319474836,9.72982961027975,0.8714798364331509,0.04831737314261032,0.8060294117647064,0.8044444444444445,0.8253509492894578,90.02349397590362,81.94157088122606,87.527352297593
163571.txt,828,348,455,285,373,63,0.8189655172413793,0.5495169082125604,0.42028985507246375,12.093836015310336,0.870991371099631,0.04421085938486584,0.7776636713735549,0.77625,0.8204411392258983,75.80415327426704,69.01856222988053,73.85628019323671
170014.txt,456,220,288,173,168,47,0.7863636363636364,0.631578947368421,0.4824561403508772,10.302443927398633,0.8809528592619392,0.0447719875147987,0.8486977886977883,0.8444444444444444,0.8469258083431881,107.49181112120695,102.93172192200964,110.83991228070175
170507.txt,418,177,178,116,240,61,0.655367231638418,0.4258373205741627,0.423444976076555,8.657352988387977,0.8576200242585368,0.05431911494523553,0.7218428184281842,0.71,0.7845618429497557,49.246207142869714,49.20557973882073,50.442583732057415
171259.txt,840,354,399,268,441,86,0.7570621468926554,0.475,0.42142857142857143,12.21416040035967,0.8716688840820409,0.04388469888277402,0.7878381795195926,0.7937500000000001,0.827719250117112,82.55172413793103,77.04019227311836,75.88333333333334
178394.txt,369,207,223,157,146,50,0.7584541062801933,0.6043360433604336,0.5609756097560976,10.775989570313818,0.9021996719582637,0.03809868466137769,0.8434375000000021,0.8542857142857143,0.8706900183426736,129.16887930431074,107.01999611725878,133.17615176151762
189754.txt,249,123,116,81,133,42,0.6585365853658537,0.46586345381526106,0.4939759036144578,7.794808281451079,0.8721749774168097,0.05334490335210129,0.7462000000000001,0.74,0.7839042599622671,48.14,52.791603140289,54.092369477911646
205143.txt,263,145,139,103,124,42,0.7103448275862069,0.5285171102661597,0.5513307984790875,8.941083031684007,0.8931436054497434,0.04415634236987325,0.7994392523364494,0.808,0.8345095667184923,92.61151784581554,85.1211766672238,81.60076045627376
206318.txt,641,273,317,202,324,71,0.73992673992674,0.49453978159126366,0.42589703588143524,10.782851700530422,0.8679322649811363,0.047051804412603045,0.7806756756756738,0.7833333333333333,0.82658863566365,68.73681147382221,68.36148882635035,68.30265210608424
207602.txt,307,165,146,113,161,52,0.6848484848484848,0.4755700325732899,0.5374592833876222,9.417047401333269,0.8915804468613275,0.04359208727896809,0.7792248062015511,0.7833333333333335,0.8315940691431998,71.0108584434839,70.3455714992578,80.9771986970684
208674.txt,371,162,152,97,219,65,0.5987654320987654,0.40970350404312667,0.4366576819407008,8.410620932748873,0.8599429636434929,0.05451018080022888,0.7604347826086962,0.7542857142857143,0.8011243462881081,53.475943541218584,59.56654517714867,56.900269541778975
212086.txt,476,236,265,184,211,52,0.7796610169491526,0.5567226890756303,0.4957983193277311,10.817042264932894,0.8862062449304551,0.04249830429889218,0.8068384074941439,0.8088888888888889,0.8385651660984074,100.38141032614608,84.67287241584663,95.96848739495799
